# Milepost, Milepost Feet, Sync Count, Sync Sample, Speed, Linecode, Division Code, SubDivision Code, Track Class, Posted Speed, Track Number, Gradient, ALD, L Surface 31, L Surface 62, L Surface 124, R Surface 31, R Surface 62, R Surface 124, L Alignment 31, L Alignment 62, L Alignment 124, R Alignment 31, R Alignment 62, R Alignment 124, Gage, RESERVE, Crosslevel, Crosslevel rate, Curvature, Curvature rate, Curve Transition Status, Readj Curve Transition Status, ISR1, ISR2, Delayed time between samples, RC/62, L Profile short, R Profile short, L Profile space curve, R Profile space curve, L Alignment space curve, R Alignment space curve, Termiflex Status Bit, RC/20, RC/31, RC/55, L Alignment Raw S, L Alignment Raw M, R Alignment Raw S, R Alignment Raw M, L Comb AlignProf S, L Comb AlignProf M, L Comb AlignProf L, R Comb AlignProf S, R Comb AlignProf M, R Comb AlignProf L, Latitude, Longitude
113, 1977, 0, 1, 0, ,,,3, 40, 0,0, -4.99969, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.5001, 57, 0.0769043, 0, -0.03, -0.04, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113, 1978, 0, 2, 0, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.2, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.58343506, 57, 0.06835937398, -0.009765624854, -0.03, -0.04, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113, 1979, 0, 3, 0, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.2, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.59991456, 57, 0.05615234291, -0.02319335903, -0.03, -0.04, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113, 1980, 0, 4, 0, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.2, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.60632325, 57, 0.04272460874, -0.03906249942, -0.03, -0.03, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113, 1981, 0, 5, 1, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.3, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.61334229, 57, 0.02563476524, -0.05859374913, -0.03, -0.02, 0, 0, 0, 0, -8502, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113, 1982, 0, 6, 1, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.3, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.62738038, 57, 0.01098632796, -0.07446288952, -0.03, -0.02, 0, 0, 0, 0, -16167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113, 1983, 0, 7, 1, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.3, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.62890626, 57, 0, -0.08789062369, -0.03, -0.01, 0, 0, 0, 0, -21788, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113, 1984, 0, 8, 1, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.3, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.6170044, 57, -0.006103515534, -0.09643554544, -0.03, -0.01, 0, 0, 0, 0, -25531, 0, 0, 0, 0, 0, 0, 0, 0, -0.08056640505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113, 1985, 0, 9, 1, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.3, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.60876465, 57, -0.004882812427, -0.09643554544, -0.03, -0.01, 0, 0, 0, 0, -28576, 0, 0, 0, 0, 0, 0, 0, 0, -0.06225585845, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113, 1986, 0, 10, 1, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.3, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.59930421, 57, -0.004882812427, -0.09887695165, -0.03, -0.01, 0, 0, 0, 0, -30860, 0, 0, 0, 0, 0, 0, 0, 0, -0.04272460874, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113, 1988, 0, 11, 2, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.3, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.57824708, 57, -0.007324218641, -0.102539061, -0.03, -0.01, 0, 0, 0, 0, 32515, 0, 0, 0, 0, 0, 0, 0, 0, -0.02319335903, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113, 1989, 0, 12, 2, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.3, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.55627442, 57, -0.01220703107, -0.1074218734, -0.03, -0.01, 0, 0, 0, 0, 30813, 0, 0, 0, 0, 0, 0, 0, 0, -0.01098632796, -0.08178710816, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113, 1990, 0, 13, 2, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.3, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.53613282, 57, -0.01098632796, -0.1074218734, -0.03, -0.01, 0, 0, 0, 0, 29336, 0, 0, 0, 0, 0, 0, 0, 0, -0.007324218641, -0.05615234291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113, 1991, 0, 14, 2, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.3, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.51568604, 57, -0.004882812427, -0.102539061, -0.03, -0.01, 0, 0, 0, 0, 27968, 0, 0, 0, 0, 0, 0, 0, 0, -0.008544921748, -0.02685546835, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113, 1992, 0, 15, 2, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.3, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.50408936, 57, 0, -0.09887695165, -0.03, -0.01, 0, 0, 0, 0, 26705, 0, 0, 0, 0, 0, 0, 0, 0, -0.01342773417, 0.007324218641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
113, 1993, 0, 16, 2, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.3, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.4998169, 57, 0.001220703107, -0.09643554544, -0.03, -0.01, 0, 0, 0, 0, 25494, 0, 0, 0, 0, 0, 0, 0, 0, -0.01342773417, 0.04272460874, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232988, -104.1779655
113, 1994, 0, 17, 2, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.3, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.49829102, 57, 0, -0.09887695165, -0.03, -0.02, 0, 0, 0, 0, 24413, 0, 0, 0, 0, 0, 0, 0, 0, -0.004882812427, 0.05737304602, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232949, -104.1779711
113, 1995, 0, 18, 2, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.3, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.49005128, 57, -0.007324218641, -0.1086425765, -0.03, -0.02, 0, 0, 0, 0, 23329, 0, 0, 0, 0, 0, 0, 0, 0, 0.01098632796, 0.06958007709, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232949, -104.1779751
113, 1996, 0, 19, 3, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.3, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.47784425, 57, -0.01464843728, -0.1159667951, -0.03, -0.02, 0, 0, 0, 0, 22476, 0, 0, 0, 0, 0, 0, 0, 0, 0.02685546835, 0.06469726466, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232937, -104.1779791
113, 1997, 0, 20, 3, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.46563721, 57, -0.0183105466, -0.1196289045, -0.03, -0.02, 0, 0, 0, 0, 21724, 0, 0, 0, 0, 0, 0, 0, 0, 0.03906249942, 0.05859374913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232932, -104.1779791
113, 1998, 0, 21, 3, WYN1,Saskatoon,Saskatoon-Wynyard,3, 40, 1,0.4, -4.99969475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.45159913, 57, -0.0183105466, -0.1208496076, -0.03, -0.02, 0, 0, 0, 0, 21054, 0, 0, 0, 0, 0, 0, 0, 0, 0.05493163981, 0.05126953049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51.77232908, -104.1779849
